# lambda av_DeltaU
   0.812812813 6071.874988866
   0.813813814 6051.231659517
   0.814814815 6030.564685225
   0.815815816 6009.867888436
   0.816816817 5989.133906935
   0.817817818 5968.354406994
   0.818818819 5947.520323493
   0.819819820 5926.622120337
   0.820820821 5905.650063929
   0.821821822 5884.594502036
   0.822822823 5863.446139995
   0.823823824 5842.196306034
   0.824824825 5820.837197390
   0.825825826 5799.362099090
   0.826826827 5777.765567623
   0.827827828 5756.043572471
   0.828828829 5734.193589487
   0.829829830 5712.214641506
   0.830830831 5690.107283346
   0.831831832 5667.873530398
   0.832832833 5645.516732326
   0.833833834 5623.041395813
   0.834834835 5600.452962722
   0.835835836 5577.757552283
   0.836836837 5554.961677839
   0.837837838 5532.071950169
   0.838838839 5509.094780208
   0.839839840 5486.036094203
   0.840840841 5462.901073818
   0.841841842 5439.693932472
   0.842842843 5416.417737436
   0.843843844 5393.074284910
   0.844844845 5369.664032718
   0.845845846 5346.186092493
   0.846846847 5322.638280474
   0.847847848 5299.017223442
   0.848848849 5275.318513989
   0.849849850 5251.536907387
   0.850850851 5227.666550754
   0.851851852 5203.701234176
   0.852852853 5179.634652795
   0.853853854 5155.460668664
   0.854854855 5131.173561394
   0.855855856 5106.768257170
   0.856856857 5082.240526639
   0.857857858 5057.587143351
   0.858858859 5032.805995979
   0.859859860 5007.896149226
   0.860860861 4982.857850345
   0.861861862 4957.692480291
   0.862862863 4932.402450831
   0.863863864 4906.991051195
   0.864864865 4881.462250172
   0.865865866 4855.820461644
   0.866866867 4830.070283428
   0.867867868 4804.216220809
   0.868868869 4778.262407157
   0.869869870 4752.212334521
   0.870870871 4726.068606971
   0.871871872 4699.832728736
   0.872872873 4673.504937839
   0.873873874 4647.084094116
   0.874874875 4620.567628159
   0.875875876 4593.951555120
   0.876876877 4567.230554446
   0.877877878 4540.398113699
   0.878878879 4513.446731725
   0.879879880 4486.368173690
   0.880880881 4459.153768057
   0.881881882 4431.794733421
   0.882882883 4404.282521453
   0.883883884 4376.609161017
   0.884884885 4348.767587901
   0.885885886 4320.751944655
   0.886886887 4292.557835735
   0.887887888 4264.182524620
   0.888888889 4235.625061741
   0.889889890 4206.886334949
   0.890890891 4177.969037818
   0.891891892 4148.877555067
   0.892892893 4119.617768786
   0.893893894 4090.196793591
   0.894894895 4060.622653122
   0.895895896 4030.903914107
   0.896896897 4001.049297279
   0.897897898 3971.067286501
   0.898898899 3940.965758306
   0.899899900 3910.751653578
   0.900900901 3880.430711263
   0.901901902 3850.007280825
   0.902902903 3819.484225778
   0.903903904 3788.862925298
   0.904904905 3758.143374818
   0.905905906 3727.324380075
   0.906906907 3696.403832557
   0.907907908 3665.379048130
   0.908908909 3634.247145240
   0.909909910 3603.005434773
   0.910910911 3571.651790945
   0.911911912 3540.184971704
   0.912912913 3508.604858411
   0.913913914 3476.912588131
   0.914914915 3445.110557726
   0.915915916 3413.202286923
   0.916916917 3381.192137154
   0.917917918 3349.084893739
   0.918918919 3316.885230024
   0.919919920 3284.597082575
   0.920920921 3252.222975634
   0.921921922 3219.763339865
   0.922922923 3187.215874460
   0.923923924 3154.575002524
   0.924924925 3121.831467196
   0.925925926 3088.972110355
   0.926926927 3055.979867312
   0.927927928 3022.834000022
   0.928928929 2989.510578539
   0.929929930 2955.983206108
   0.930930931 2922.223967878
   0.931931932 2888.204567197
   0.932932933 2853.897597351
   0.933933934 2819.277881303
   0.934934935 2784.323798537
   0.935935936 2749.018508134
   0.936936937 2713.350972347
   0.937937938 2677.316687288
   0.938938939 2640.918038344
   0.939939940 2604.164218740
   0.940940941 2567.070679929
   0.941941942 2529.658120658
   0.942942943 2491.951064324
   0.943943944 2453.976117054
   0.944944945 2415.760036411
   0.945945946 2377.327767534
   0.946946947 2338.700615649
   0.947947948 2299.894718803
   0.948948949 2260.919962409
   0.949949950 2221.779439873
   0.950950951 2182.469515363
   0.951951952 2142.980490831
   0.952952953 2103.297825226
   0.953953954 2063.403804472
   0.954954955 2023.279520438
   0.955955956 1982.906988924
   0.956956957 1942.271222708
   0.957957958 1901.362077184
   0.958958959 1860.175703219
   0.959959960 1818.715473955
   0.960960961 1776.992297303
   0.961961962 1735.024280569
   0.962962963 1692.835773088
   0.963963964 1650.455871122
   0.964964965 1607.916519925
   0.965965966 1565.250384945
   0.966966967 1522.488682846
   0.967967968 1479.659161339
   0.968968969 1436.784395099
   0.969969970 1393.880526803
   0.970970971 1350.956532708
   0.971971972 1308.014037854
   0.972972973 1265.047653135
   0.973973974 1222.045760867
   0.974974975 1178.991640797
   0.975975976 1135.864807177
   0.976976977 1092.642420098
   0.977977978 1049.300639972
   0.978978979 1005.815811469
   0.979979980  962.165389753
   0.980980981  918.328555097
   0.981981982  874.286498479
   0.982982983  830.022397437
   0.983983984  785.521134695
   0.984984985  740.768838669
   0.985985986  695.752342097
   0.986986987  650.458660954
   0.987987988  604.874589881
   0.988988989  558.986493542
   0.989989990  512.780347983
   0.990990991  466.242055770
   0.991991992  419.358027807
   0.992992993  372.115997782
   0.993993994  324.506015975
   0.994994995  276.521560665
   0.995995996  228.160708283
